Class_id, name, Average Precision
0, adelholzener_alpenquelle_classic_075, 45.09 %
1, adelholzener_alpenquelle_naturell_075, 63.64 %
2, adelholzener_classic_bio_apfelschorle_02, 53.34 %
3, adelholzener_classic_naturell_02, 53.53 % 
4, adelholzener_gourmet_mineralwasser_02, 52.99 %
5, augustiner_lagerbraeu_hell_05, 62.81 %
6, augustiner_weissbier_05, 53.61 %
7, coca_cola_05, 53.49 %
8, coca_cola_light_05, 44.93 %
9, suntory_gokuri_lemonade, 54.38 %
10, tegernseer_hell_03, 53.03 %
11, corny_nussvoll, 44.84 %
12, corny_nussvoll_single, 45.24 %
13, corny_schoko_banane, 44.30 %
14, corny_schoko_banane_single, 54.49 %
15, dr_oetker_vitalis_knuspermuesli_klassisch, 39.73 %
16, koelln_muesli_fruechte, 36.93 %
17, koelln_muesli_schoko, 51.51 %
18, caona_cocoa, 20.09 %
19, cocoba_cocoa, 44.42 %
20, cafe_wunderbar_espresso, 33.58 %
21, douwe_egberts_professional_ground_coffee, 43.44 %
22, gepa_bio_caffe_crema, 33.86 %
23, gepa_italienischer_bio_espresso, 43.60 %
24, apple_braeburn_bundle, 44.48 %
25, apple_golden_delicious, 54.40 %
26, apple_granny_smith, 54.33 %
27, apple_red_boskoop, 54.44 %
28, avocado, 54.46 %
29, banana_bundle, 44.71 %
30, banana_single, 54.24 %
31, clementine, 53.37 %
32, clementine_single, 54.25 %
33, grapes_green_sugraone_seedless, 61.98 %
34, grapes_sweet_celebration_seedless, 53.65 %
35, kiwi, 54.52 %
36, orange_single, 63.40 %
37, oranges, 47.80 %
38, pear, 54.55 %
39, pasta_reggia_elicoidali, 39.05 %
40, pasta_reggia_fusilli, 37.67 %
41, pasta_reggia_spaghetti, 38.51 %
42, franken_tafelreiniger, 45.17 %
43, pelikan_tintenpatrone_canon, 54.30 %
44, ethiquable_gruener_tee_ceylon, 44.71 %
45, gepa_bio_und_fair_fencheltee, 44.53 %
46, gepa_bio_und_fair_kamillentee, 54.55 %
47, gepa_bio_und_fair_kraeuterteemischung, 53.48 %
48, gepa_bio_und_fair_pfefferminztee, 53.61 %
49, gepa_bio_und_fair_rooibostee, 53.80 %
50, kilimanjaro_tea_earl_grey, 42.89 %
51, cucumber, 42.79 %
52, carrot, 54.17 %
53, corn_salad, 38.45 %
54, lettuce, 36.87 %
55, vine_tomatoes, 34.25 %
56, roma_vine_tomatoes, 45.22 %
57, rocket, 38.59 %
58, salad_iceberg, 52.09 %
59, zucchini, 54.17 %
